,Accuracy,Recall,Precision,F1_Score,Model_FileName
Decison_Tree_With_Stem_Bag_words,63.479623824451416,92.13025780189959,62.4655013799448,74.4517543859649,dt_bws.sav
Decison_Tree_With_lem_Bag_words,62.57836990595611,92.13025780189959,61.811561219845245,73.98529011168618,dt_bwm.sav
Decison_Tree_With_stem_TFIDF,60.38401253918495,97.15061058344641,59.64181591003749,73.90967741935484,dt_tfs.sav
Decison_Tree_With_Lem_TFIDF,59.75705329153605,93.69918699186992,59.68925334484246,72.92380701291854,dt_tfm.sav
Decison_Tree_With_stem_Word2vec,57.71943573667711,99.32157394843962,57.79707856296881,73.0721237833791,dt_wvs.sav
Decison_Tree_With_Lem_Word2vec,57.52351097178683,99.1180461329715,57.70142180094787,72.94058911632551,dt_wvm.sav
Decison_Tree_With_stem_Doc2vec,57.79780564263323,99.4572591587517,57.83037475345167,73.13544524819157,dt_dvs.sav
Decison_Tree_With_Lem_Doc2vec,57.758620689655174,99.25474254742548,57.859399684044234,73.10379241516966,dt_dvm.sav
Naive_bayes_With_stem_Bag_words,73.94200626959247,81.40806561859193,75.18939393939394,78.17525434853955,nv_bws.sav
Naive_bayes_With_lem_Bag_words,73.07993730407524,81.54477101845524,74.09937888198758,77.64399609502115,nv_bwm.sav
Naive_bayes_With_stem_TFIDF,72.76645768025078,86.26110731373889,71.86788154897495,78.40944392668531,nv_tfs.sav
Naive_bayes_With_lem_TFIDF,72.68808777429467,85.78263841421736,71.96100917431193,78.26629248518864,nv_tfm.sav
XGboost_With_Stem_Bag_words,68.45611285266457,83.93711551606289,68.29810901001112,75.31432076050292,bst1.sav
XGboost_With_lem_Bag_words,66.22257053291536,83.10719131614654,66.64853101196954,73.97342995169083,bst2.sav
XGboost_With_stem_TFIDF,66.65360501567397,83.10719131614654,67.04980842911877,74.21993335352923,bst3.sav
XGboost_With_Lem_TFIDF,64.69435736677116,82.42876526458616,65.4281098546042,72.95106574602222,bst4.sav
XGboost_With_stem_Word2vec,64.69435736677116,82.42876526458616,65.4281098546042,72.95106574602222,bst5.sav
XGboost_With_Lem_Word2vec,57.210031347962385,97.96747967479675,57.655502392344495,72.59036144578313,dst6.sav
XGboost_With_stem_Doc2vec,58.03291536050157,98.98236092265942,58.011928429423456,73.15116570569064,dst7.sav
XGboost_With_Lem_Doc2vec,57.44514106583072,98.50746268656717,57.710651828298886,72.78195488721803,dst8.sav
Random_Forest_With_Stem_Bag_words,67.16300940438872,81.5040650406504,68.04298642533936,74.16769420468556,rft_wbs.sav
Random_Forest_With_lem_Bag_words,67.16300940438872,81.5040650406504,68.04298642533936,74.16769420468556,rft_wbm.sav
Random_Forest_With_stem_TFIDF,65.86990595611285,82.4966078697422,66.48441771459814,73.63003330305783,rft_tfs.sav
Random_Forest_With_Lem_TFIDF,54.506269592476485,71.64179104477611,58.69927737632018,64.52795600366635,rft_tfm.sav
Random_Forest_With_stem_Word2vec,57.641065830721004,98.98236092265942,57.78217821782178,72.96824206051514,rft_wvs.sav
Random_Forest_With_Lem_Word2vec,57.60188087774295,99.05020352781547,57.75316455696202,72.96351824087957,rft_wvm.sav
Random_Forest_With_stem_Doc2vec,57.405956112852664,98.3739837398374,57.73359840954274,72.76371836632423,rft_dvs.sav
Random_Forest_With_Lem_Doc2vec,57.758620689655174,98.98373983739837,57.88431061806656,73.05000000000001,rft_dvm.sav
